,Unnamed: 0,Unnamed: 0.1,X,Y,name,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
112,112,23,2.2032009,48.8867193997204,ibis budget,92050.0,nanterre,hosting,hotel,Hôtel,POINT (2.2032009 48.8867193997204),10874
113,113,23,2.2032009,48.8867193997204,ibis budget,92050.0,nanterre,hosting,hotel,Hôtel,POINT (2.2032009 48.8867193997204),10875
114,114,23,2.2032009,48.8867193997204,ibis budget,92050.0,nanterre,hosting,hotel,Hôtel,POINT (2.2032009 48.8867193997204),11000
115,115,23,2.2032009,48.8867193997204,ibis budget,92050.0,nanterre,hosting,hotel,Hôtel,POINT (2.2032009 48.8867193997204),11001
116,116,24,2.3279889,48.8663130997255,le lotti,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3279889 48.8663130997255),12515
117,117,24,2.3279889,48.8663130997255,le lotti,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3279889 48.8663130997255),12640
118,118,24,2.3279889,48.8663130997255,le lotti,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3279889 48.8663130997255),12641
119,119,24,2.3279889,48.8663130997255,le lotti,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3279889 48.8663130997255),12766
120,120,24,2.3279889,48.8663130997255,le lotti,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3279889 48.8663130997255),12767
121,121,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13161
122,122,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13162
123,123,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13287
124,124,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13288
125,125,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13413
126,126,25,2.3691145,48.7157177997628,orly surperior,91027.0,athis-mons,hosting,hotel,Hôtel,POINT (2.3691145 48.7157177997628),13414
127,127,26,2.3048556,48.8547807997283,hôtel eber mars,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3048556 48.8547807997283),12264
128,128,26,2.3048556,48.8547807997283,hôtel eber mars,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3048556 48.8547807997283),12390
129,129,26,2.3048556,48.8547807997283,hôtel eber mars,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3048556 48.8547807997283),12391
130,130,26,2.3048556,48.8547807997283,hôtel eber mars,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3048556 48.8547807997283),12516
131,131,27,2.2759292,48.8530037997288,eiffel kennedy,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2759292 48.8530037997288),11886
132,132,27,2.2759292,48.8530037997288,eiffel kennedy,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2759292 48.8530037997288),11887
133,133,27,2.2759292,48.8530037997288,eiffel kennedy,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2759292 48.8530037997288),12012
134,134,27,2.2759292,48.8530037997288,eiffel kennedy,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2759292 48.8530037997288),12013
135,135,27,2.2759292,48.8530037997288,eiffel kennedy,75056.0,paris,hosting,hotel,Hôtel,POINT (2.2759292 48.8530037997288),12138
136,136,28,2.3007825,48.860439899727,hôtel le derby alma,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3007825 48.860439899727),12137
137,137,28,2.3007825,48.860439899727,hôtel le derby alma,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3007825 48.860439899727),12263
138,138,28,2.3007825,48.860439899727,hôtel le derby alma,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3007825 48.860439899727),12264
139,139,28,2.3007825,48.860439899727,hôtel le derby alma,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3007825 48.860439899727),12389
140,140,28,2.3007825,48.860439899727,hôtel le derby alma,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3007825 48.860439899727),12390
141,141,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13272
142,142,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13273
143,143,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13398
144,144,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13399
145,145,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13524
146,146,29,2.3787436,48.8510852997293,auberge internationale de jeunesse (aij),75056.0,paris,hosting,hostel,Autre,POINT (2.3787436 48.8510852997293),13525
147,147,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),12892
148,148,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),12893
149,149,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),13018
150,150,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),13019
151,151,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),13144
152,152,30,2.3517456,48.8695660997247,hôtel les théâtres,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3517456 48.8695660997247),13145
153,153,31,2.261054,48.9072119997153,residhome,92009.0,bois-colombes,hosting,hotel,Hôtel,POINT (2.261054 48.9072119997153),11628
154,154,31,2.261054,48.9072119997153,residhome,92009.0,bois-colombes,hosting,hotel,Hôtel,POINT (2.261054 48.9072119997153),11754
155,155,31,2.261054,48.9072119997153,residhome,92009.0,bois-colombes,hosting,hotel,Hôtel,POINT (2.261054 48.9072119997153),11755
156,156,31,2.261054,48.9072119997153,residhome,92009.0,bois-colombes,hosting,hotel,Hôtel,POINT (2.261054 48.9072119997153),11880
157,157,32,2.3206849,48.8797756997221,best western premier le swann,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3206849 48.8797756997221),12513
158,158,32,2.3206849,48.8797756997221,best western premier le swann,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3206849 48.8797756997221),12514
159,159,32,2.3206849,48.8797756997221,best western premier le swann,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3206849 48.8797756997221),12639
160,160,32,2.3206849,48.8797756997221,best western premier le swann,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3206849 48.8797756997221),12640
161,161,32,2.3206849,48.8797756997221,best western premier le swann,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3206849 48.8797756997221),12765
162,162,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),12760
163,163,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),12761
164,164,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),12886
165,165,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),12887
166,166,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),13012
167,167,33,2.3432427,48.9219214997117,b&b hôtel,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3432427 48.9219214997117),13013
168,168,34,2.3074534,48.8536394997286,hôtel derby eiffel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3074534 48.8536394997286),12264
169,169,34,2.3074534,48.8536394997286,hôtel derby eiffel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3074534 48.8536394997286),12390
170,170,34,2.3074534,48.8536394997286,hôtel derby eiffel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3074534 48.8536394997286),12391
171,171,34,2.3074534,48.8536394997286,hôtel derby eiffel,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3074534 48.8536394997286),12516
172,172,35,2.3560943,48.9154809997133,Missing,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3560943 48.9154809997133),13013
173,173,35,2.3560943,48.9154809997133,Missing,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3560943 48.9154809997133),13014
174,174,35,2.3560943,48.9154809997133,Missing,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3560943 48.9154809997133),13139
175,175,35,2.3560943,48.9154809997133,Missing,93066.0,saint-denis,hosting,hotel,Hôtel,POINT (2.3560943 48.9154809997133),13140
176,176,36,1.9424013,48.8313841997342,garabel,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.9424013 48.8313841997342),7226
177,177,36,1.9424013,48.8313841997342,garabel,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.9424013 48.8313841997342),7227
178,178,36,1.9424013,48.8313841997342,garabel,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.9424013 48.8313841997342),7352
179,179,36,1.9424013,48.8313841997342,garabel,78490.0,plaisir,hosting,hotel,Hôtel,POINT (1.9424013 48.8313841997342),7353
180,180,37,1.8999337,48.815844799738,Missing,78442.0,neauphle-le-château,hosting,guest_house,Maison d'hôte,POINT (1.8999337 48.815844799738),6598
181,181,37,1.8999337,48.815844799738,Missing,78442.0,neauphle-le-château,hosting,guest_house,Maison d'hôte,POINT (1.8999337 48.815844799738),6599
182,182,37,1.8999337,48.815844799738,Missing,78442.0,neauphle-le-château,hosting,guest_house,Maison d'hôte,POINT (1.8999337 48.815844799738),6724
183,183,37,1.8999337,48.815844799738,Missing,78442.0,neauphle-le-château,hosting,guest_house,Maison d'hôte,POINT (1.8999337 48.815844799738),6725
184,184,37,1.8999337,48.815844799738,Missing,78442.0,neauphle-le-château,hosting,guest_house,Maison d'hôte,POINT (1.8999337 48.815844799738),6850
185,185,38,2.3438855,48.8733771997237,hôtel lodge du centre,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3438855 48.8733771997237),12766
186,186,38,2.3438855,48.8733771997237,hôtel lodge du centre,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3438855 48.8733771997237),12891
187,187,38,2.3438855,48.8733771997237,hôtel lodge du centre,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3438855 48.8733771997237),12892
188,188,38,2.3438855,48.8733771997237,hôtel lodge du centre,75056.0,paris,hosting,hotel,Hôtel,POINT (2.3438855 48.8733771997237),13018
