,Unnamed: 0,X,Y,com_insee,com_nom,Type,connexion_type,Type_détaillé,geometry,0
178,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11630
179,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11755
180,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11756
181,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11881
182,36,2.2617833,48.8955489997182,92026.0,courbevoie,internet_access,wlan,Wifi,POINT (2.2617833 48.8955489997182),11882
183,37,2.0439648,48.7829199997462,78423.0,montigny-le-bretonneux,internet_access,yes,Autre,POINT (2.0439648 48.7829199997462),8618
184,37,2.0439648,48.7829199997462,78423.0,montigny-le-bretonneux,internet_access,yes,Autre,POINT (2.0439648 48.7829199997462),8744
185,37,2.0439648,48.7829199997462,78423.0,montigny-le-bretonneux,internet_access,yes,Autre,POINT (2.0439648 48.7829199997462),8745
186,37,2.0439648,48.7829199997462,78423.0,montigny-le-bretonneux,internet_access,yes,Autre,POINT (2.0439648 48.7829199997462),8870
187,38,2.3027106,48.8780916997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3027106 48.8780916997226),12261
188,38,2.3027106,48.8780916997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3027106 48.8780916997226),12262
189,38,2.3027106,48.8780916997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3027106 48.8780916997226),12387
190,38,2.3027106,48.8780916997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3027106 48.8780916997226),12388
191,39,2.3097112,48.8733782997237,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3097112 48.8733782997237),12262
192,39,2.3097112,48.8733782997237,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3097112 48.8733782997237),12387
193,39,2.3097112,48.8733782997237,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3097112 48.8733782997237),12388
194,39,2.3097112,48.8733782997237,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3097112 48.8733782997237),12514
195,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11142
196,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11143
197,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11268
198,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11269
199,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11394
200,40,2.2259077,48.7427990997561,91312.0,igny,internet_access,wlan,Wifi,POINT (2.2259077 48.7427990997561),11395
201,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13271
202,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13272
203,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13397
204,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13398
205,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13523
206,41,2.3785244,48.8612515997267,75056.0,paris,internet_access,wlan,Wifi,POINT (2.3785244 48.8612515997267),13524
207,42,2.284766,48.8777759997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.284766 48.8777759997226),12009
208,42,2.284766,48.8777759997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.284766 48.8777759997226),12010
209,42,2.284766,48.8777759997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.284766 48.8777759997226),12135
210,42,2.284766,48.8777759997226,75056.0,paris,internet_access,wlan,Wifi,POINT (2.284766 48.8777759997226),12136
211,43,2.4696829,48.40328709984,91405.0,milly-la-forêt,internet_access,wlan,Wifi,POINT (2.4696829 48.40328709984),14582
212,43,2.4696829,48.40328709984,91405.0,milly-la-forêt,internet_access,wlan,Wifi,POINT (2.4696829 48.40328709984),14708
213,43,2.4696829,48.40328709984,91405.0,milly-la-forêt,internet_access,wlan,Wifi,POINT (2.4696829 48.40328709984),14709
214,43,2.4696829,48.40328709984,91405.0,milly-la-forêt,internet_access,wlan,Wifi,POINT (2.4696829 48.40328709984),14834
215,43,2.4696829,48.40328709984,91405.0,milly-la-forêt,internet_access,wlan,Wifi,POINT (2.4696829 48.40328709984),14835
216,44,2.3205775,48.8365935997329,75056.0,paris,internet_access,yes,Autre,POINT (2.3205775 48.8365935997329),12518
217,44,2.3205775,48.8365935997329,75056.0,paris,internet_access,yes,Autre,POINT (2.3205775 48.8365935997329),12644
218,44,2.3205775,48.8365935997329,75056.0,paris,internet_access,yes,Autre,POINT (2.3205775 48.8365935997329),12770
219,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12013
220,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12014
221,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12139
222,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12140
223,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12265
224,45,2.2877245,48.8408905997318,75056.0,paris,internet_access,wlan,Wifi,POINT (2.2877245 48.8408905997318),12266
