,X,Y,name,com_insee,com_nom,Type,Type_détaillé,geometry,0
1088,2.32813689872705,48.8542719909761,Bibliothèque de SciencesPo,75056,Paris,library,Bibliothèque,POINT (2.32813689872705 48.8542719909761),12642
1088,2.32813689872705,48.8542719909761,Bibliothèque de SciencesPo,75056,Paris,library,Bibliothèque,POINT (2.32813689872705 48.8542719909761),12643
1088,2.32813689872705,48.8542719909761,Bibliothèque de SciencesPo,75056,Paris,library,Bibliothèque,POINT (2.32813689872705 48.8542719909761),12768
1089,2.62361084971183,48.8439068503338,Médiathèque de la Ferme du Buisson,77337,Noisiel,library,Médiathèque,POINT (2.62361084971183 48.8439068503338),16675
1089,2.62361084971183,48.8439068503338,Médiathèque de la Ferme du Buisson,77337,Noisiel,library,Médiathèque,POINT (2.62361084971183 48.8439068503338),16801
1089,2.62361084971183,48.8439068503338,Médiathèque de la Ferme du Buisson,77337,Noisiel,library,Médiathèque,POINT (2.62361084971183 48.8439068503338),16802
1089,2.62361084971183,48.8439068503338,Médiathèque de la Ferme du Buisson,77337,Noisiel,library,Médiathèque,POINT (2.62361084971183 48.8439068503338),16927
1089,2.62361084971183,48.8439068503338,Médiathèque de la Ferme du Buisson,77337,Noisiel,library,Médiathèque,POINT (2.62361084971183 48.8439068503338),16928
1090,2.18852478723655,48.844513763151,La médiathèque,92033,Garches,library,Médiathèque,POINT (2.18852478723655 48.844513763151),10627
1090,2.18852478723655,48.844513763151,La médiathèque,92033,Garches,library,Médiathèque,POINT (2.18852478723655 48.844513763151),10753
1090,2.18852478723655,48.844513763151,La médiathèque,92033,Garches,library,Médiathèque,POINT (2.18852478723655 48.844513763151),10754
1090,2.18852478723655,48.844513763151,La médiathèque,92033,Garches,library,Médiathèque,POINT (2.18852478723655 48.844513763151),10879
1091,2.41114351923164,48.7550309907574,Bibliothèque des Navigateurs - Maison pour Tous,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41114351923164 48.7550309907574),13787
1091,2.41114351923164,48.7550309907574,Bibliothèque des Navigateurs - Maison pour Tous,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41114351923164 48.7550309907574),13788
1091,2.41114351923164,48.7550309907574,Bibliothèque des Navigateurs - Maison pour Tous,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41114351923164 48.7550309907574),13913
1091,2.41114351923164,48.7550309907574,Bibliothèque des Navigateurs - Maison pour Tous,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41114351923164 48.7550309907574),13914
1091,2.41114351923164,48.7550309907574,Bibliothèque des Navigateurs - Maison pour Tous,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41114351923164 48.7550309907574),14039
1092,2.41397528596388,48.7673024337258,Bibliothèque municipale des Gondoles,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41397528596388 48.7673024337258),13785
1092,2.41397528596388,48.7673024337258,Bibliothèque municipale des Gondoles,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41397528596388 48.7673024337258),13786
1092,2.41397528596388,48.7673024337258,Bibliothèque municipale des Gondoles,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41397528596388 48.7673024337258),13911
1092,2.41397528596388,48.7673024337258,Bibliothèque municipale des Gondoles,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41397528596388 48.7673024337258),13912
1092,2.41397528596388,48.7673024337258,Bibliothèque municipale des Gondoles,94022,Choisy-le-Roi,library,Bibliothèque,POINT (2.41397528596388 48.7673024337258),14038
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11367
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11368
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11493
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11494
1093,2.24337344628704,48.984735551229,Bibliothèque Annexe André Malraux,95219,Ermont,library,Bibliothèque,POINT (2.24337344628704 48.984735551229),11619
