,X,Y,name,brand,operator,fuel_diesel,fuel_95,fuel_98,fuel_e10,fuel_gpl,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
20,2.4809332,48.7983132997423,,BP,,yes,,yes,yes,,94068.0,Saint-Maur-des-Fossés,fuel,,Station de carburant,POINT (2.4809332 48.7983132997423),14664
20,2.4809332,48.7983132997423,,BP,,yes,,yes,yes,,94068.0,Saint-Maur-des-Fossés,fuel,,Station de carburant,POINT (2.4809332 48.7983132997423),14790
20,2.4809332,48.7983132997423,,BP,,yes,,yes,yes,,94068.0,Saint-Maur-des-Fossés,fuel,,Station de carburant,POINT (2.4809332 48.7983132997423),14791
20,2.4809332,48.7983132997423,,BP,,yes,,yes,yes,,94068.0,Saint-Maur-des-Fossés,fuel,,Station de carburant,POINT (2.4809332 48.7983132997423),14916
20,2.4809332,48.7983132997423,,BP,,yes,,yes,yes,,94068.0,Saint-Maur-des-Fossés,fuel,,Station de carburant,POINT (2.4809332 48.7983132997423),14917
21,2.2062218,48.880494499722,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2062218 48.880494499722),10875
21,2.2062218,48.880494499722,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2062218 48.880494499722),11001
21,2.2062218,48.880494499722,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2062218 48.880494499722),11002
21,2.2062218,48.880494499722,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2062218 48.880494499722),11127
22,2.2056225,48.8816165997217,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2056225 48.8816165997217),10875
22,2.2056225,48.8816165997217,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2056225 48.8816165997217),11001
22,2.2056225,48.8816165997217,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2056225 48.8816165997217),11002
22,2.2056225,48.8816165997217,Total Access,Total Access,,yes,,yes,yes,,92050.0,Nanterre,fuel,,Station de carburant,POINT (2.2056225 48.8816165997217),11127
23,1.9933104,48.8287755997348,Total,Total,Total,yes,,yes,yes,,78165.0,Les Clayes-sous-Bois,fuel,,Station de carburant,POINT (1.9933104 48.8287755997348),7857
23,1.9933104,48.8287755997348,Total,Total,Total,yes,,yes,yes,,78165.0,Les Clayes-sous-Bois,fuel,,Station de carburant,POINT (1.9933104 48.8287755997348),7982
23,1.9933104,48.8287755997348,Total,Total,Total,yes,,yes,yes,,78165.0,Les Clayes-sous-Bois,fuel,,Station de carburant,POINT (1.9933104 48.8287755997348),7983
23,1.9933104,48.8287755997348,Total,Total,Total,yes,,yes,yes,,78165.0,Les Clayes-sous-Bois,fuel,,Station de carburant,POINT (1.9933104 48.8287755997348),8109
24,2.3892991,48.7503033997543,Total,Total,,yes,,yes,yes,,94054.0,Orly,fuel,,Station de carburant,POINT (2.3892991 48.7503033997543),13410
24,2.3892991,48.7503033997543,Total,Total,,yes,,yes,yes,,94054.0,Orly,fuel,,Station de carburant,POINT (2.3892991 48.7503033997543),13535
24,2.3892991,48.7503033997543,Total,Total,,yes,,yes,yes,,94054.0,Orly,fuel,,Station de carburant,POINT (2.3892991 48.7503033997543),13536
24,2.3892991,48.7503033997543,Total,Total,,yes,,yes,yes,,94054.0,Orly,fuel,,Station de carburant,POINT (2.3892991 48.7503033997543),13661
24,2.3892991,48.7503033997543,Total,Total,,yes,,yes,yes,,94054.0,Orly,fuel,,Station de carburant,POINT (2.3892991 48.7503033997543),13662
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),10750
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),10751
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),10876
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),10877
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),11002
25,2.1990573,48.868271799725,Relais des Blanchettes,Total,Total,yes,,yes,yes,,92063.0,Rueil-Malmaison,fuel,,Station de carburant,POINT (2.1990573 48.868271799725),11003
26,2.3604808,48.8168430997378,Relais Total Porte D'Italie,Total,Total,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3604808 48.8168430997378),13024
26,2.3604808,48.8168430997378,Relais Total Porte D'Italie,Total,Total,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3604808 48.8168430997378),13150
26,2.3604808,48.8168430997378,Relais Total Porte D'Italie,Total,Total,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3604808 48.8168430997378),13151
26,2.3604808,48.8168430997378,Relais Total Porte D'Italie,Total,Total,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3604808 48.8168430997378),13276
27,2.4647613,48.7899271997444,Esso,Esso,,yes,yes,yes,,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4647613 48.7899271997444),14539
27,2.4647613,48.7899271997444,Esso,Esso,,yes,yes,yes,,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4647613 48.7899271997444),14540
27,2.4647613,48.7899271997444,Esso,Esso,,yes,yes,yes,,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4647613 48.7899271997444),14665
27,2.4647613,48.7899271997444,Esso,Esso,,yes,yes,yes,,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4647613 48.7899271997444),14666
27,2.4647613,48.7899271997444,Esso,Esso,,yes,yes,yes,,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4647613 48.7899271997444),14791
28,2.4619789,48.7912174997441,Esso Express,Esso Express,,yes,,yes,yes,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4619789 48.7912174997441),14413
28,2.4619789,48.7912174997441,Esso Express,Esso Express,,yes,,yes,yes,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4619789 48.7912174997441),14539
28,2.4619789,48.7912174997441,Esso Express,Esso Express,,yes,,yes,yes,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4619789 48.7912174997441),14540
28,2.4619789,48.7912174997441,Esso Express,Esso Express,,yes,,yes,yes,,94028.0,Créteil,fuel,,Station de carburant,POINT (2.4619789 48.7912174997441),14665
29,2.7607631,48.8525249997289,Total,Total,,yes,,yes,yes,,77307.0,Montévrain,fuel,,Station de carburant,POINT (2.7607631 48.8525249997289),18690
29,2.7607631,48.8525249997289,Total,Total,,yes,,yes,yes,,77307.0,Montévrain,fuel,,Station de carburant,POINT (2.7607631 48.8525249997289),18691
29,2.7607631,48.8525249997289,Total,Total,,yes,,yes,yes,,77307.0,Montévrain,fuel,,Station de carburant,POINT (2.7607631 48.8525249997289),18816
29,2.7607631,48.8525249997289,Total,Total,,yes,,yes,yes,,77307.0,Montévrain,fuel,,Station de carburant,POINT (2.7607631 48.8525249997289),18817
30,2.4359267,48.8013244997416,Esso,Esso,,yes,,yes,yes,,94046.0,Maisons-Alfort,fuel,,Station de carburant,POINT (2.4359267 48.8013244997416),14034
30,2.4359267,48.8013244997416,Esso,Esso,,yes,,yes,yes,,94046.0,Maisons-Alfort,fuel,,Station de carburant,POINT (2.4359267 48.8013244997416),14159
30,2.4359267,48.8013244997416,Esso,Esso,,yes,,yes,yes,,94046.0,Maisons-Alfort,fuel,,Station de carburant,POINT (2.4359267 48.8013244997416),14160
30,2.4359267,48.8013244997416,Esso,Esso,,yes,,yes,yes,,94046.0,Maisons-Alfort,fuel,,Station de carburant,POINT (2.4359267 48.8013244997416),14286
31,2.3116861,48.8595019997272,Total,Total,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3116861 48.8595019997272),12389
31,2.3116861,48.8595019997272,Total,Total,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3116861 48.8595019997272),12390
31,2.3116861,48.8595019997272,Total,Total,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3116861 48.8595019997272),12515
31,2.3116861,48.8595019997272,Total,Total,,yes,,yes,yes,,75056.0,Paris,fuel,,Station de carburant,POINT (2.3116861 48.8595019997272),12516
32,2.1181057,48.8750389997233,Relais Total De Louveciennes,Total,Total,yes,,yes,yes,yes,78350.0,Louveciennes,fuel,,Station de carburant,POINT (2.1181057 48.8750389997233),9616
32,2.1181057,48.8750389997233,Relais Total De Louveciennes,Total,Total,yes,,yes,yes,yes,78350.0,Louveciennes,fuel,,Station de carburant,POINT (2.1181057 48.8750389997233),9741
