,X,Y,name,access,changing_table,wheelchair,drinking_water,com_insee,com_nom,Type,type,Type_détaillé,geometry,0
162,2.3937178,48.852140099729,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3937178 48.852140099729),13651
162,2.3937178,48.852140099729,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3937178 48.852140099729),13776
163,2.3878882,48.8532862997287,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3878882 48.8532862997287),13398
163,2.3878882,48.8532862997287,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3878882 48.8532862997287),13524
163,2.3878882,48.8532862997287,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3878882 48.8532862997287),13525
163,2.3878882,48.8532862997287,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3878882 48.8532862997287),13650
164,2.3840312,48.8504196997294,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3840312 48.8504196997294),13398
164,2.3840312,48.8504196997294,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3840312 48.8504196997294),13399
164,2.3840312,48.8504196997294,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3840312 48.8504196997294),13524
164,2.3840312,48.8504196997294,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3840312 48.8504196997294),13525
165,2.3765509,48.8461068997305,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3765509 48.8461068997305),13273
165,2.3765509,48.8461068997305,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3765509 48.8461068997305),13398
165,2.3765509,48.8461068997305,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3765509 48.8461068997305),13399
165,2.3765509,48.8461068997305,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3765509 48.8461068997305),13525
166,2.3849035,48.8455897997306,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3849035 48.8455897997306),13399
166,2.3849035,48.8455897997306,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3849035 48.8455897997306),13525
166,2.3849035,48.8455897997306,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3849035 48.8455897997306),13526
166,2.3849035,48.8455897997306,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3849035 48.8455897997306),13651
167,2.3947167,48.8649409997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3947167 48.8649409997258),13523
167,2.3947167,48.8649409997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3947167 48.8649409997258),13648
167,2.3947167,48.8649409997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3947167 48.8649409997258),13649
167,2.3947167,48.8649409997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3947167 48.8649409997258),13775
168,2.3760806,48.8648881997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3760806 48.8648881997258),13271
168,2.3760806,48.8648881997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3760806 48.8648881997258),13396
168,2.3760806,48.8648881997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3760806 48.8648881997258),13397
168,2.3760806,48.8648881997258,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3760806 48.8648881997258),13523
169,2.38096,48.8656933997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.38096 48.8656933997256),13271
169,2.38096,48.8656933997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.38096 48.8656933997256),13396
169,2.38096,48.8656933997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.38096 48.8656933997256),13397
169,2.38096,48.8656933997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.38096 48.8656933997256),13522
169,2.38096,48.8656933997256,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.38096 48.8656933997256),13523
170,2.3924546,48.8574920997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3924546 48.8574920997277),13523
170,2.3924546,48.8574920997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3924546 48.8574920997277),13524
170,2.3924546,48.8574920997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3924546 48.8574920997277),13649
170,2.3924546,48.8574920997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3924546 48.8574920997277),13650
170,2.3924546,48.8574920997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3924546 48.8574920997277),13776
171,2.380956,48.8571810997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.380956 48.8571810997277),13272
171,2.380956,48.8571810997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.380956 48.8571810997277),13397
171,2.380956,48.8571810997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.380956 48.8571810997277),13398
171,2.380956,48.8571810997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.380956 48.8571810997277),13523
171,2.380956,48.8571810997277,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.380956 48.8571810997277),13524
172,2.3802421,48.8583166997275,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3802421 48.8583166997275),13272
172,2.3802421,48.8583166997275,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3802421 48.8583166997275),13397
172,2.3802421,48.8583166997275,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3802421 48.8583166997275),13398
172,2.3802421,48.8583166997275,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3802421 48.8583166997275),13523
172,2.3802421,48.8583166997275,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3802421 48.8583166997275),13524
173,2.3790692,48.8622861997265,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3790692 48.8622861997265),13271
173,2.3790692,48.8622861997265,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3790692 48.8622861997265),13397
173,2.3790692,48.8622861997265,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3790692 48.8622861997265),13398
173,2.3790692,48.8622861997265,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3790692 48.8622861997265),13523
174,2.3795196,48.864235799726,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3795196 48.864235799726),13271
174,2.3795196,48.864235799726,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3795196 48.864235799726),13396
174,2.3795196,48.864235799726,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3795196 48.864235799726),13397
174,2.3795196,48.864235799726,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3795196 48.864235799726),13523
175,2.3838899,48.8635966997261,Missing,Missing,Missing,Missing,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.3838899 48.8635966997261),13397
175,2.3838899,48.8635966997261,Missing,Missing,Missing,Missing,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.3838899 48.8635966997261),13523
175,2.3838899,48.8635966997261,Missing,Missing,Missing,Missing,Missing,75056.0,paris,toilets,toilettes_publiques,Missing,POINT (2.3838899 48.8635966997261),13649
176,2.3897789,48.8662940997255,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3897789 48.8662940997255),13397
176,2.3897789,48.8662940997255,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3897789 48.8662940997255),13522
176,2.3897789,48.8662940997255,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3897789 48.8662940997255),13523
176,2.3897789,48.8662940997255,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3897789 48.8662940997255),13648
176,2.3897789,48.8662940997255,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.3897789 48.8662940997255),13649
177,2.4025827,48.8491001997298,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4025827 48.8491001997298),13650
177,2.4025827,48.8491001997298,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4025827 48.8491001997298),13651
177,2.4025827,48.8491001997298,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4025827 48.8491001997298),13776
177,2.4025827,48.8491001997298,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4025827 48.8491001997298),13777
177,2.4025827,48.8491001997298,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4025827 48.8491001997298),13903
178,2.395963,48.8547525997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.395963 48.8547525997283),13524
178,2.395963,48.8547525997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.395963 48.8547525997283),13650
178,2.395963,48.8547525997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.395963 48.8547525997283),13651
178,2.395963,48.8547525997283,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.395963 48.8547525997283),13776
179,2.4099677,48.8555987997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4099677 48.8555987997281),13775
179,2.4099677,48.8555987997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4099677 48.8555987997281),13776
179,2.4099677,48.8555987997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4099677 48.8555987997281),13901
179,2.4099677,48.8555987997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4099677 48.8555987997281),13902
179,2.4099677,48.8555987997281,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4099677 48.8555987997281),14028
180,2.4122506,48.8544514997284,Missing,Missing,no,yes,yes,75056.0,paris,toilets,toilettes_publiques,Gratuit,POINT (2.4122506 48.8544514997284),13776
